ID,Название,Описание,Ссылка
408,Архитектура из конвейера. Экскурсия по бывшему Хлебозаводу №9 с посещением крыши,,https://engineer-history.ru/tour/hlebozavod-9-arhitektura-iz-konveyera
410,Экскурсия в здание Центросоюза. Что построил в Москве Ле Корбюзье?,,https://engineer-history.ru/tour/francuzskiy-modernizm-v-moskve-ekskursiya-v-dom-centrosoyuza
419,Машина для жилья. Экскурсия по дому-коммуне на Орджоникидзе,,https://engineer-history.ru/tour/mashina-dlya-zhilya-ekskursiya-po-domu-kommune-na-ordzhonikidze
443,Район будущего. Экскурсия по микрорайону Северное Чертаново,,https://engineer-history.ru/tour/severnoe-chertanovo
489,Дегустируем итальянскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-italyanskuyu-arhitekturu-lekciya-degustaciya-vina
601,Дегустируем австрийскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-avstriyskuyu-arhitekturu-lekciya-degustaciya-vina
602,Дегустируем французскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-francuzskuyu-arhitekturu-lekciya-degustaciya-vina
606,Дегустируем испанскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-ispanskuyu-arhitekturu-lekciyadegustaciya-vina
640,Большевик. Экскурсия по бывшей кондитерской фабрике,,https://engineer-history.ru/tour/bolshevik-degustacia
642,Авангард для жизни. Экскурсия по району Хамовники 1920-30-х годов,,https://engineer-history.ru/tour/avangard-v-hamovnikah
654,Архитектура как рупор идеологии. Экскурсия по ДК имени Зуева,,https://engineer-history.ru/tour/zueva
659,9-й квартал экспериментов. Экскурсия по Новым Черемушкам,,https://engineer-history.ru/tour/rayon-novye-cheremushki
667,Дегустируем немецкую архитектуру. Лекция + уютный ужин,,https://engineer-history.ru/tour/christmas-dinner-arhitecrure-with-germany
669,Дегустируем французскую архитектуру. Лекция + уютный ужин,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-francuzskuyu-arhitekturu-lekciya-dinner
670,Дегустируем русскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-russkuyu-arhitekturu-lekciya-degustaciya-vina-dinner
672,Дегустируем итальянскую архитектуру. Лекция + уютный ужин,,https://engineer-history.ru/tour/vino-glazami-inzhenera-degustiruem-italyanskuyu-arhitekturu-lekciya-degustaciya-dinner
673,Дегустируем испанскую архитектуру. Лекция + уютный ужин,,https://engineer-history.ru/tour/degustiruem-ispanskuyu-arhitekturu-rozhdestvenskiy-uzhin
677,Экскурсия в гостиницу «Ленинградская». Самая маленькая и самая дорогая высотка,,https://engineer-history.ru/tour/visotka-leningradskaya
684,Москва глазами реставратора. Авторская экскурсия Анастасии Головиной про реставрацию в Китай-городе,,https://engineer-history.ru/tour/moskva-glazami-restavratora-kak-menyalsya-kitay-gor
694,Что скрывает здание на Никольской. Экскурсия в комплекс Печатного двора,,https://engineer-history.ru/tour/pechatnyy-dvor
699,Город женщин. Пешеходная экскурсия про женщин в истории Москвы,,https://engineer-history.ru/tour/gorod-zhenschin
704,Дегустируем венгерскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/degustiruem-vengerskuyu-arhitekturu-lekciya-degustaciya-vina
709,Дегустируем японскую архитектуру. Лекция про архитектуру + дегустация сакэ,,https://engineer-history.ru/tour/japansake
720,Москва глазами реставратора. Авторская экскурсия Анастасии Головиной про реставрацию в районе «Кропоткинской»,,https://engineer-history.ru/tour/moskva-glazami-restavratora-kak-menyalis-zdaniya-v-rayone-kropotkinskoy
742,Керамика на фасадах. Пешеходная экскурсия,,https://engineer-history.ru/tour/keramika-na-fasadah
744,Экскурсия по сталинскому поселку Акулово – эксклаву Москвы,,https://engineer-history.ru/tour/akulovo
786,От монастыря к Дворцу культуры. Пешеходная экскурсия по Автозаводской,,https://engineer-history.ru/tour/avangard-neoklassika-i-barokko-na-avtozavodskoy-peshehodnaya-ekskursiya
795,Виски глазами инженера. Лекция + дегустация виски,,https://engineer-history.ru/tour/viski-glazami-inzhenera-lekciya-degustaciya-viski
841,Архитектурный коктейль. Пешеходная экскурсия по Басманному району,,https://engineer-history.ru/tour/arhitekturnyy-kokteyl-peshehodnaya-ekskursiya
858,Промышленный кластер у Серпуховской заставы. Пешеходная экскурсия-исследование,,https://engineer-history.ru/tour/promserpuhovskayzastava
862,Джин глазами инженера. Дегустируем архитектуру Лондона,,https://engineer-history.ru/tour/djinglazaniinginera
870,Городок художников на Масловке. Экскурсия по «московскому Монмартру» с посещением мастерских,,https://engineer-history.ru/tour/gorodoknamaslovke
877,От метро до ГОЭЛРО. Экскурсия про электрификацию с посещением музея-квартиры Кржижановского,,https://engineer-history.ru/tour/museumkrjijanovskogo
893,Загородный модерн. Экскурсия по фабричному городку Ивантеевки и стародачной Клязьме,,https://engineer-history.ru/tour/modern-na-klyazme-zagorodnaya-avtobusnaya-ekskursiya
952,Архитектура для развлечений. Пешеходная экскурсия с посещением старейшего кинотеатра в Москве – «Художественный»,,https://engineer-history.ru/tour/huduzgestvennii
955,"Эпоха, стили, детали. Экскурсия в особняк Морозовых",,https://engineer-history.ru/tour/morozova
958,Метро и город: архитектура наземных вестибюлей. Лекция Марии Никитиной,,https://engineer-history.ru/tour/vestibuylimetro
970,"Зеленоград: советский модернизм, наука и передовые технологии.",,https://engineer-history.ru/tour/zelenograd
982,Как выглядят и как устроены шедевры ВиноПрома. Лекция + дегустация вина,,https://engineer-history.ru/tour/shedevriprom
984,Город книг. Ночная экскурсия в библиотеку имени Ленина,,https://engineer-history.ru/tour/nochnayabibliotekalenina
988,Москва глазами реставратора. Авторская экскурсия Анастасии Головиной про реставрацию,,https://engineer-history.ru/tour/restavraciya
1005,Коктейли глазами инженера. Дегустируем ар-деко,,https://engineer-history.ru/tour/cocktailglazami
1010,Москва после Петра I. Экскурсия про барокко и классицизм в Басманном районе с посещением кафе «Публика»,,https://engineer-history.ru/tour/basmanniy
1011,Арбатские замки Валентина Дубовского. Экскурсия с посещением квартиры в доходном доме,,https://engineer-history.ru/tour/arbatskie-zamki-valentina-dubovskogo
1026,Нижняя Пресня. Экскурсия по рабочему поселку с посещением квартиры Маяковских,,https://engineer-history.ru/tour/presnya
1029,Высотка на Котельнической набережной. Экскурсия с просмотром кинохроники в кинотеатре «Иллюзион»,,https://engineer-history.ru/tour/kotelnicheskaya
1041,Дегустируем армянскую архитектуру. Лекция + дегустация вина,,https://engineer-history.ru/tour/vineofarmenia
1068,Блеск «Кристалла» и гимн стрит-арту. Пешеходная экскурсия по территории бывшего завода,,https://engineer-history.ru/tour/kristall
1078,Архитектура для полетов. Экскурсия в ЦАГИ с посещением аэродинамической трубы,,https://engineer-history.ru/tour/chagi
1093,Улица Щербаковская: до и после войны. Пешеходная экскурсия,,https://engineer-history.ru/tour/sherbakovskaya
1103,Оранжевые вина и архитектура Солнца. Лекция + дегустация,,https://engineer-history.ru/tour/orangevine
1104,Погружение в модернизм. Экскурсия про архитектуру для науки с посещением Института океанологии РАН,,https://engineer-history.ru/tour/oceanology
1108,Что такое ревитализация? Экскурсия по пространству «Суперметалл» на Бауманской,,https://engineer-history.ru/tour/supermetall
1116,Орехово-Зуево: текстильное царство династии Морозовых,,https://engineer-history.ru/tour/orehovozuevo
1135,От писательских дач к Дому творчества. Экскурсия по поселку Переделкино с посещением музея Пастернака,,https://engineer-history.ru/tour/peredelkino2
1156,От «галдарейки» до тучереза. Пешеходная экскурсия о квартирном вопросе в дореволюционной Москве,,https://engineer-history.ru/tour/dohodnikrussia
1169,Дегустируем грузинский модернизм. Лекция об архитектуре + дегустация вина,,https://engineer-history.ru/tour/georgiavine
1184,Архитектура для воды. Экскурсия с посещением Алексеевской насосной станции,,https://engineer-history.ru/tour/water
1188,Мосты Москвы: от древности до современности. Пешеходная экскурсия об истории мостов Москвы,,https://engineer-history.ru/tour/bridges
1191,Шампанское глазами инженера: небоскреб в бокале. Лекция + дегустация вина,,https://engineer-history.ru/tour/shampanskoe-i-neboskreby2
1208,Закат эпох. Архитектурное путешествие в «Горки Ленинские»,,https://engineer-history.ru/tour/gorkioflenin
1228,Полуостров современной архитектуры. Пешеходная экскурсия по комплексу ЗИЛАРТ,,https://engineer-history.ru/tour/zilart
1253,Фабрика инженеров. Экскурсия с посещением МГТУ имени Баумана,,https://engineer-history.ru/tour/baumanka
1284,Остожье. За сто лет до «Золотой мили». Пешеходная экскурсия,,https://engineer-history.ru/tour/ostozhenka100
1292,"Протвино. Город-лес, модернизм и наука. Однодневная поездка",,https://engineer-history.ru/tour/protvino
1314,Авангард на Шаболовке. Пешеходная экскурсия с посещением Галереи на Шаболовке,,https://engineer-history.ru/tour/avangardshabolovka2
1349,Архитектурная азбука. Пешеходная экскурсия по стилям,,https://engineer-history.ru/tour/startinart
1358,Москва глазами археолога. Пешеходная экскурсия,,https://engineer-history.ru/tour/archaeologian
1366,Серебряная миля. Современная архитектура Хамовников. Пешеходная экскурсия,,https://engineer-history.ru/tour/khamovnikimodern
1410,Дегустируем русскую архитектуру. Лекция + уютный ужин,,https://engineer-history.ru/tour/russian-archirecture-wine-dinner
1414,Архитектура и ткань. Экскурсия по комплексу бывшей Трехгорной мануфактуры,,https://engineer-history.ru/tour/trehgorka
1415,Капризные вина. Дегустируем архитектурные и винные капризы,,https://engineer-history.ru/tour/vinoinmoscow
1417,Архитектура света. Пешеходная экскурсия с экспертизой от выпускника программы Архитекторы.рф,,
1442,Физики и лирики. Экскурсия в Национальный исследовательский ядерный университет МИФИ,,
1443,Две Москвы «Мастера и Маргариты». Лекция Регины Поливан об архитектуре в новой киноверсии культового романа,,
1446,Анатомия модернизма. Экскурсия в Российский исследовательский медуниверситет им. Н.И. Пирогова,,
1459,Энергия архитектуры. Экскурсия в Московский энергетический институт,,
1479,Черноголовка. Цепные реакции: от горения науки до взрыва искусства. Однодневная поездка,,
1508,Дегустируем архитектуру Португалии. Лекция + уютный ужин,,
1509,Жуковский – колыбель авиации. Экскурсия по наукограду с посещением демонстрационного центра ЦАГИ,,
1520,Просто космос. Экскурсия по наукограду Королев с посещением музея РКК «Энергия»,,
1537,Новый Свет глазами инженера. Дегустируем архитектуру ЮАР,,
1555,Чай глазами инженера. Дегустируем китайскую архитектуру в чайной «Чайных Дел Мастерская»,,
1558,Ивановская горка и Хитровка. Экскурсия Петра Посмакова,,
1560,Архитектура «Правды». Экскурсия с посещением бывшего комбината главной газеты СССР,,
1561,Открытка из Москвы: Дмитрий Чечулин. Архитектурный завтрак с созданием коллажа,,
1567,От фрагмента к монументу. Лекция и мастер-класс по созданию мозаики,,
1573,Архитектура для музеев. Пешеходная экскурсия по «музейной миле» в коллаборации с искусствоведом Ксенией Коробейниковой,,
1583,Великий мастер Федор Шехтель. Лекция Марины Фирсовой,,
1596,Пущино — заповедник модернизма на Оке. Специальный тур в наукоград и камерный концерт «Грекофония: сны о мифах»,,
1606,Дегустируем американскую архитектуру. Лекция + дегустация вина,,
1621,Город женщин. Пешеходно-автобусная экскурсия про известных женщин в истории Москвы,,
1623,Дегустируем венгерскую архитектуру. Лекция + дегустация вина в Венгерском культурном центре,,
1633,Женщины-архитекторы и женщины-виноделы мира. Лекция + дегустация вина,,
1634,Пития Страны Советов. Краткий гид по советскому застолью. Лекция + закуски,,
1637,"Акант, пальметта, изразец: архитектурные детали крупным планом. Пешеходная экскурсия по Таганке",,
1646,Открытка из Москвы: Константин Мельников. Архитектурный завтрак с созданием коллажа,,
1673,Город и река. Экскурсия по Нагатинскому затону с посещением Южного речного вокзала и поездкой на «Синичке»,,
1678,Модернизм на Юге и Юго-Западе. Трамвайная экскурсия,,
1686,Красная книга архитектуры. Автобусная экскурсия по советскому модернизму на «Икарусе»,,
1689,В поисках рыцаря на Чистых прудах. Экскурсия для детей от 7 до 12 лет от Анны Перельмут,,
1691,Река Неглинка: от ручейка до подземной системы. Пешеходная экскурсия Даниила Давыдова,,
1702,Первым делом самолеты. Экскурсия в Московский авиационный институт,,
1703,Посольские особняки Поварской. Экскурсия с посещением Венгерского культурного центра,,
1708,На службе власти и воды. Экскурсия с посещением Северного речного вокзала,,
1711,Как устроен железобетон. Детский мастер-класс по созданию изделия из бетона (8–12 лет),,
1720,Москва-Сити: из прошлого в будущее. Пешеходная экскурсия по деловому кварталу,,
1724,Модерн Шехтеля на Патриарших. Экскурсия Анны Рубченковой с посещением смотровой площадки и бокалом игристого,,
1725,Дегустируем архитектуру Аргентины. Лекция + уютный ужин,,
1731,Гении места. Атмосферная экскурсия по району Чистых прудов с бранчем от проекта «Едва знакомы»,,
1734,Город-сад: остров зеленой утопии. Пешеходная экскурсия по поселку Сокол,,
1736,От Версаля до Никола-Ленивца. Лекция + дегустация сидра,,
1738,Как закалялась сталь. Экскурсия в Университет науки и технологий МИСИС,,
1739,Электрозавод: фабричная крепость в осаде. Лекция Александра Макеева,,
1740,От усадьбы до музея. Экскурсия по комплексу Музея архитектуры,,
1743,Пушкино: прогулки по столетнему городу. Краеведческая экскурсия Ольги Соловьевой по мотивам ее книги,,
1755,Фича авангарда: вычисляя архитектуру. Пешеходная экскурсия по Мясницкой,,
1763,Любовь в деталях. Экскурсия в деревянный дом Палибина,,
1768,Атмосфера Арбата. Фотопрогулка по арбатским переулкам. Экскурсия Олеси Кануркиной,,
1769,"Три дома, два музея и одна улица. Экскурсия по Тверской с посещением доходных домов",,
1789,Дом переехал. Семейная экскурсия про расширение Тверской (8-12 лет),,
1793,Архитектурный клуб. Авангард,,
1806,В поисках ар-деко. Экскурсия по второй очереди московского метро,,
1810,Семейная экскурсия в районе Чистых Прудов. Приключение по архитектурным стилям (7–10 лет),,
1823,Хитровка глазами Гиляровского. Пешеходная экскурсия по мотивам выставки в Музее русского импрессионизма,,
1824,"Камера, город, мотор!-1. Экскурсия-сериал с Московской школой кино и Всеволодом Коршуновым",,
1825,Архитектура новогодней мечты. Пешеходная экскурсия по праздничной Москве,,
1838,Братья Веснины. Экскурсия по выставке в Музее архитектуры,,
1845,Московские высотки: от колоколен до Сити. Лекция c чаепитием в высотке на Красных Воротах,,
1846,Семь сестер: архитектура и инженерия московских высоток. Лекция с чаепитием в высотке на Красных воротах,,
1847,Капитал знаний. Экскурсия с посещением Исторической библиотеки,,
1856,Как прятали Москву. Семейная экскурсия Ирины Аитовой про маскировку Москвы в 1941–1942 годах (7-10 лет),,
1860,Архитектурный клуб. Федор Шехтель,,
1864,Архитектурный клуб. Федор Шехтель,,
1865,Константин Мельников и его «Свобода». Экскурсия с посещением Дома русского бильярда «Москва»,,
1866,Архитектурный клуб. Алексей Щусев,,
1868,Высотка на Котельнической набережной. Экскурсия с посещением квартиры в центральном подъезде здания,,
1869,Новогодние традиции старой Москвы. Лекция Анны Яковлевич,,
1872,Свет глазами инженера. Детский мастер-класс по созданию модели фотокамеры (8–12 лет),,
1873,Супружеские пары в архитектуре. Лекция Ульяны Кудрявцевой ко Дню влюбленных,,
1875,Архитектура чайных династий. Лекция Марины Фирсовой в русской чайной «Нитка»,,
1887,Архитектурный клуб. Модернизм,,
1889,Архитектурный клуб. Модернизм,,
1891,Архитектурный клуб. Ле Корбюзье,,
1892,Архитектурный клуб. Где мы живем,,
1893,Современное искусство в метро. Экскурсия по станциям 1980-2010-х,,
1894,"Здравствуй, метрополитен! Семейная экскурсия",,
1896,Архитектурный клуб. Конструктивизм. Посещение кураторской экскурсии в Музее архитектуры и обсуждение,,
1897,Пиво глазами инженера. Дегустируем бельгийский модерн,,
1903,Архитектурный клуб. Мозаики XX века,,
1906,В поисках принцессы. Семейная экскурсия по Арбату от Анны Перельмут (7–12 лет),,
1908,"Архитектурный клуб. Москва, которой не было",,
1910,Космос всегда рядом! Экскурсия по проспекту Мира с посещением гостиницы «Космос»,,
1917,Город как черновик: экскурсия по Москве Михаила Булгакова,,
1919,Архитектурный клуб.Где мы живем,,
1920,Город и река: от последней деревни до Сити. Экскурсия с поездкой на «Синичке»,,
1924,Шоколадный арт-бранч в СЧАСТЬЕ в ГУМе. Лекция про русский стиль в архитектуре с дегустацией фирменного шоколада,,
1927,Архитектурный клуб в Московской Школе Мозаики,,
1928,Прогулка с Архитектурным клубом. Модерн,,
1932,"Город, который ест. Пешеходная экскурсия по следам гастрономической истории Москвы совместно с Ultima Guide",,
1934,Архитектурный клуб. Илларион Иванов-Шиц. Посещение кураторской экскурсии в Музее архитектуры и обсуждение,,
1942,Архитектурный клуб. Заха Хадид,,
1943,Архитектурный клуб. Заха Хадид. Прогулка+обсуждение,,
1944,Архитектурный клуб. Высотки,,
1945,Прогулка с Архитектурным клубом. Модерн.,,
1947,Невидимое корейское жилище. Лекция с дегустацией чайных напитков,,
1948,Как разобраться в современной архитектуре. Лекция Айрата Багаутдинова,,
1956,Архитектурный клуб. Заха Хадид. Прогулка+обсуждение.,,
1957,Прогулка с Архитектурным клубом. Современная архитектура.,,
1959,Загородный модерн. Экскурсия по усадебным постройкам Абрамцева и стародачной Клязьме,,
1962,Московские высотки: от колоколен до Сити. Лекция в квартире высотки на Котельнической набережной,,
1963,Архитектурный клуб. Кинопоказ фильма о Ренцо Пьяно на Beat Film Festival + обсуждение,,
1968,Архитектурный клуб. Федор Шехтель. Посещение кураторской экскурсии в Музее архитектуры и обсуждение,,
1982,Главная башня страны. Авторская экскурсия Инны Крыловой вокруг башни на Шаболовке,,
1983,"Камера, город, мотор!-2. Экскурсия-сериал с Московской школой кино и Всеволодом Коршуновым",,
1984,Дегустируем греческую архитектуру. Лекция + уютный ужин,,
1989,Архитектурный клуб в Московской Школе Мозаики.,,
1990,Прогулка с Архитектурным клубом. Авангард на Арбате,,
1992,Архитектурный клуб. Федор Шехтель. Посещение кураторской экскурсии в Музее архитектуры и обсуждение.,,
1994,Шаболовка. Авторская экскурсия Александра Усольцева в поддержку Шуховской башни,,
1995,Фабричная крепость на Яузе. Пешеходная экскурсия в поддержку Электрозавода,,
1996,Дело об исчезнувшей стене Китай-города. Семейная экскурсия по средневековой Москве (10–14 лет),,
1999,Прогулка с Архитектурным клубом. Капром.,,
2001,Мост для воды. Семейная экскурсия про Ростокинский акведук (8–12 лет),,
2003,Шухов: инженер будущего и судьба башни на Шаболовке. Лекция Айрата Багаутдинова,,
2004,Ажурный дом и «сороконожка». Семейная экскурсия о необычных домах (8–12 лет),,
2012,Прогулка с Архитектурным клубом. Наследие Шехтеля на Патриарших,,
2016,Родные стены. Экскурсия о решении квартирного вопроса в XX веке,,
2018,Прогулка с Архитектурным клубом. Юго-Запад с выходом на крышу,,
2024,Архитектурный клуб. Вера Мухина. Экскурсия по выставке в музее ДПИ и обсуждение,,
